edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
dog:00036:00048:gap12,stage199_00023243,dog,12,36,48,47,0.9166666666666666,topk_keep0p2_q6,0.2,6,54777,0.005787526722997427,0.0017630932852625847,0.6953632579774149,0.009963655844330788,0.0029791854321956635,20.015812818871733,25.259024643334538,5.243211824462804,ok,
paragliding-launch:00060:00072:gap12,stage199_00027413,paragliding-launch,12,60,72,61,0.08333333333333333,topk_keep0p05_q6,0.05,6,16010,0.003492614720016718,0.0016988754505291581,0.5135806303533457,0.0027128492947667837,0.0022470164112746716,25.66574331660118,26.483937556627566,0.8181942400263864,ok,
paragliding-launch:00060:00072:gap12,stage199_00027413,paragliding-launch,12,60,72,61,0.08333333333333333,topk_keep0p1_q6,0.1,6,30144,0.003492614720016718,0.0011494175996631384,0.6709005453491199,0.0027128492947667837,0.0018415709491819143,25.66574331660118,27.348115446642737,1.682372130041557,ok,
paragliding-launch:00060:00072:gap12,stage199_00027413,paragliding-launch,12,60,72,61,0.08333333333333333,topk_keep0p2_q6,0.2,6,55637,0.003492614720016718,0.0006195417372509837,0.8226137759483478,0.0027128492947667837,0.0013082389486953616,25.66574331660118,28.833129252608707,3.167385936007527,ok,
paragliding-launch:00060:00072:gap12,stage199_00027414,paragliding-launch,12,60,72,62,0.16666666666666666,topk_keep0p05_q6,0.05,6,15933,0.0037186325062066317,0.0018699998036026955,0.49712702169909284,0.003315557958558202,0.0026312810368835926,24.794433758768406,25.79832764134163,1.003893882573223,ok,
paragliding-launch:00060:00072:gap12,stage199_00027414,paragliding-launch,12,60,72,62,0.16666666666666666,topk_keep0p1_q6,0.1,6,29961,0.0037186325062066317,0.001296039205044508,0.6514742441256733,0.003315557958558202,0.002134293783456087,24.794433758768406,26.707458005852924,1.9130242470845182,ok,
paragliding-launch:00060:00072:gap12,stage199_00027414,paragliding-launch,12,60,72,62,0.16666666666666666,topk_keep0p2_q6,0.2,6,55361,0.0037186325062066317,0.0007257079123519361,0.8048454879204427,0.003315557958558202,0.001464303582906723,24.794433758768406,28.34368874976329,3.5492549909948856,ok,
paragliding-launch:00060:00072:gap12,stage199_00027415,paragliding-launch,12,60,72,63,0.25,topk_keep0p05_q6,0.05,6,16030,0.003731937613338232,0.001931372215040028,0.48247467799645005,0.0036408272571861744,0.0028116663452237844,24.387999261279994,25.510362174450975,1.1223629131709814,ok,
paragliding-launch:00060:00072:gap12,stage199_00027415,paragliding-launch,12,60,72,63,0.25,topk_keep0p1_q6,0.1,6,30286,0.003731937613338232,0.0013612838229164481,0.6352340355178727,0.0036408272571861744,0.0022954444866627455,24.387999261279994,26.391332058069427,2.003332796789433,ok,
paragliding-launch:00060:00072:gap12,stage199_00027415,paragliding-launch,12,60,72,63,0.25,topk_keep0p2_q6,0.2,6,56051,0.003731937613338232,0.0007743919850327075,0.7924959993262023,0.0036408272571861744,0.0015906650805845857,24.387999261279994,27.984212527643418,3.5962132663634243,ok,
