task_id,sequence,reference_gap,setting_label,base_psnr,full_adapter_psnr,adapter_delta_psnr,adapter_delta_vs_base,mlp_psnr,mlp_delta_vs_base,mlp_delta_vs_adapter_delta,mlp_delta_vs_full_adapter,mlp_regresses_base,mlp_regresses_adapter_delta
stage79_00027131,india,16,q4_top20,16.978827498399266,17.408562609593186,17.067554639913972,0.08872714151470618,16.610903629719406,-0.3679238686798598,-0.456651010194566,-0.7976589798737805,1,1
stage79_00027310,judo,16,q4_top20,27.30718744720951,25.183048493916942,27.120204944096717,-0.18698250311279452,26.06545461780072,-1.2417328294087895,-1.054750326295995,0.8824061238837793,1,1
stage79_00027779,lab-coat,16,q4_top20,17.45723647076153,18.08396385314128,17.659913737999815,0.20267726723828616,17.214800456239697,-0.24243601452183228,-0.44511328176011844,-0.869163396901584,1,1
stage79_00028265,loading,16,q4_top20,13.125440554196675,13.531000092147982,13.218336679906235,0.09289612570955974,13.24122536155291,0.11578480735623486,0.022888681646675124,-0.28977473059507197,0,0
stage79_00028665,mbike-trick,16,q4_top20,21.997988820856676,22.251368490799784,22.088403777458588,0.09041495660191146,21.97226216260773,-0.02572665824894571,-0.11614161485085717,-0.2791063281920536,1,1
stage79_00028876,motocross-jump,16,q4_top20,9.53334596299388,9.529033143074214,9.533545906572105,0.0001999435782238379,9.574905393046437,0.04155943005255658,0.04135948647433274,0.0458722499722235,0,0
stage79_00029295,paragliding-launch,16,q4_top20,23.55955183734146,24.14428846039353,23.700288447398165,0.140736610056706,23.623880167713146,0.06432833037168706,-0.07640827968501895,-0.5204082926803828,0,1
stage79_00029789,parkour,16,q4_top20,15.582216591467546,15.884624035112829,15.656622934479877,0.07440634301233118,15.64290828090681,0.060691689439263286,-0.013714653573067892,-0.24171575420601954,0,1
stage79_00030141,pigs,16,q4_top20,26.505739172329346,26.256372001884575,26.342085575593877,-0.1636535967354682,25.754613086727993,-0.7511260856013529,-0.5874724888658847,-0.5017589151565822,1,1
stage79_00030587,shooting,16,q4_top20,9.340636862996764,9.427194818958773,9.371642893018855,0.031006030022091124,9.479264369784383,0.13862750678761948,0.10762147676552836,0.05206955082561038,0,0
stage79_00031098,soapbox,16,q4_top20,14.462571509964528,14.737028240950686,14.48104462707022,0.018473117105692438,14.510057479933824,0.047485969969295994,0.029012852863603555,-0.22697076101686164,0,0
