task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00028560,mbike-trick,8,q12,6,0.75,image_residual_sideinfo_full_frame,4,30.517428893692422,0.8641083836555481,0.974863588809967,0.23643289506435394,68490,0.06531715393066406,0.09762538675351436,0.1629425406841784,8.405507715554837,0.347664475440979,0.15915340185165405,-0.0821765810251236
stage79_00028560,mbike-trick,8,q12,6,0.75,image_residual_sideinfo_full_frame,5,38.18481982315114,0.9572064876556396,0.9934576153755188,0.14023777842521667,128444,0.12249374389648438,0.09762538675351436,0.22011913064999872,16.072898645013552,0.44076257944107056,0.1777474284172058,-0.17837169766426086
stage79_00028560,mbike-trick,8,q12,6,0.75,image_residual_sideinfo_full_frame,6,43.93086018089341,0.9819185137748718,0.9973074793815613,0.07189631462097168,176866,0.1686725616455078,0.09762538675351436,0.26629794839902216,21.818939002755826,0.46547460556030273,0.1815972924232483,-0.24671316146850586
stage79_00026368,gold-fish,8,q12,2,0.25,original_streamsplat_base,0,24.692623920124998,0.7666061520576477,0.8855270147323608,0.17617090046405792,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00026368,gold-fish,8,q12,2,0.25,image_residual_sideinfo_full_frame,3,26.04109172230053,0.6402316689491272,0.9170442819595337,0.21290849149227142,38474,0.03669166564941406,0.09762538675351436,0.1343170524029284,1.3484678021755307,-0.1263744831085205,0.03151726722717285,0.0367375910282135
stage79_00026368,gold-fish,8,q12,2,0.25,image_residual_sideinfo_full_frame,4,33.01017183916511,0.8555967211723328,0.9755223989486694,0.11850862950086594,53242,0.05077552795410156,0.09762538675351436,0.1484009147076159,8.317547919040113,0.08899056911468506,0.0899953842163086,-0.057662270963191986
stage79_00026368,gold-fish,8,q12,2,0.25,image_residual_sideinfo_full_frame,5,39.04946443733986,0.9391102194786072,0.992178738117218,0.05633026361465454,116559,0.1111593246459961,0.09762538675351436,0.20878471139951044,14.35684051721486,0.17250406742095947,0.10665172338485718,-0.11984063684940338
stage79_00026368,gold-fish,8,q12,2,0.25,image_residual_sideinfo_full_frame,6,44.77885086445725,0.9817259907722473,0.9979878067970276,0.01698499545454979,175343,0.1672201156616211,0.09762538675351436,0.26484550241513544,20.08622694433225,0.2151198387145996,0.11246079206466675,-0.15918590500950813
stage79_00030345,scooter-black,8,q12,10,0.25,original_streamsplat_base,0,18.95618502125217,0.6678135395050049,0.8889173865318298,0.2937227785587311,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00030345,scooter-black,8,q12,10,0.25,image_residual_sideinfo_full_frame,3,20.710464860518236,0.6470601558685303,0.8673802018165588,0.419792115688324,72321,0.0689706802368164,0.09762538675351436,0.16659606699033075,1.754279839266065,-0.02075338363647461,-0.021537184715270996,0.1260693371295929
stage79_00030345,scooter-black,8,q12,10,0.25,image_residual_sideinfo_full_frame,4,28.365447060129718,0.8182283043861389,0.955994188785553,0.24650178849697113,86793,0.08277225494384766,0.09762538675351436,0.180397641697362,9.409262038877547,0.15041476488113403,0.06707680225372314,-0.04722099006175995
stage79_00030345,scooter-black,8,q12,10,0.25,image_residual_sideinfo_full_frame,5,35.72320843455932,0.9306044578552246,0.9879919290542603,0.1161254346370697,148196,0.14133071899414062,0.09762538675351436,0.23895610574765497,16.767023413307147,0.2627909183502197,0.09907454252243042,-0.17759734392166138
stage79_00030345,scooter-black,8,q12,10,0.25,image_residual_sideinfo_full_frame,6,41.830282639240735,0.9742603302001953,0.9962981939315796,0.04226582124829292,195128,0.18608856201171875,0.09762538675351436,0.2837139487652331,22.874097617988564,0.30644679069519043,0.10738080739974976,-0.25145695731043816
stage79_00025302,drift-chicane,4,q12,21,0.25,original_streamsplat_base,0,30.940667758026613,0.8850756287574768,0.9793556332588196,0.20528735220432281,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00025302,drift-chicane,4,q12,21,0.25,image_residual_sideinfo_full_frame,3,28.014795915539,0.8323093056678772,0.9409355521202087,0.2850579023361206,39273,0.037453651428222656,0.18193822076791313,0.2193918721961358,-2.925871842487613,-0.05276632308959961,-0.03842008113861084,0.07977055013179779
stage79_00025302,drift-chicane,4,q12,21,0.25,image_residual_sideinfo_full_frame,4,36.357946945881515,0.9360782504081726,0.985251784324646,0.1326112151145935,50349,0.04801654815673828,0.18193822076791313,0.22995476892465141,5.417279187854902,0.0510026216506958,0.005896151065826416,-0.07267613708972931
stage79_00025302,drift-chicane,4,q12,21,0.25,image_residual_sideinfo_full_frame,5,42.348817417494836,0.9723601341247559,0.995383620262146,0.07454352080821991,112869,0.10764026641845703,0.18193822076791313,0.28957848718637014,11.408149659468222,0.08728450536727905,0.016027987003326416,-0.1307438313961029
stage79_00025302,drift-chicane,4,q12,21,0.25,image_residual_sideinfo_full_frame,6,48.162544706005676,0.9911324381828308,0.9987550377845764,0.02383672073483467,165173,0.15752124786376953,0.18193822076791313,0.33945946863168264,17.221876947979062,0.106056809425354,0.019399404525756836,-0.18145063146948814
stage79_00029575,parkour,4,q12,34,0.5,original_streamsplat_base,0,21.213494031062613,0.5572781562805176,0.7625449895858765,0.3779895007610321,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00029575,parkour,4,q12,34,0.5,image_residual_sideinfo_full_frame,3,25.596641365709107,0.725683867931366,0.9098581671714783,0.31203681230545044,59763,0.05699443817138672,0.18193822076791313,0.23893265893929985,4.383147334646495,0.1684057116508484,0.1473131775856018,-0.06595268845558167
stage79_00029575,parkour,4,q12,34,0.5,image_residual_sideinfo_full_frame,4,32.87848747460733,0.8686318397521973,0.9719749689102173,0.14473195374011993,84806,0.08087730407714844,0.18193822076791313,0.26281552484506154,11.66499344354472,0.3113536834716797,0.20942997932434082,-0.23325754702091217
stage79_00029575,parkour,4,q12,34,0.5,image_residual_sideinfo_full_frame,5,38.81669303283152,0.9500079154968262,0.9922125935554504,0.06002229452133179,164898,0.1572589874267578,0.18193822076791313,0.3391972081946709,17.60319900176891,0.3927297592163086,0.22966760396957397,-0.3179672062397003
stage79_00029575,parkour,4,q12,34,0.5,image_residual_sideinfo_full_frame,6,45.09482419607315,0.9865633845329285,0.9982435703277588,0.01890740729868412,219567,0.2093954086303711,0.18193822076791313,0.3913336293982842,23.881330165010535,0.4292852282524109,0.23569858074188232,-0.359082093462348
stage79_00030547,shooting,8,q12,9,0.125,original_streamsplat_base,0,17.212635287433137,0.37488970160484314,0.45180460810661316,0.550696611404419,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
